Index_Number,Sr#,Rank,School_Name,Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,22-23,13-23,PerAnnumGrowth
66,67,67,Oberon High School,ARMSTRONG CREEK,467500,441500,440000,450000,471000,535000,529500,545500,660000,720000,675000,650000.0,-6,44.0,3.7
67,69,69,Horsham College,HORSHAM,215000,215000,240000,245000,262500,255000,269000,260000,345000,379000,400000,305500.0,6,86.0,6.4
68,70,69,Mullauna College,MITCHAM,650000,730000,885500,941000,1070000,998000,942000,1066500,1212500,1200000,1210000,1055000.0,1,86.0,6.4
69,71,71,Ballarat High School,BALLARAT CENTRAL,322000,327500,353000,385000,430000,447500,515000,560000,710000,687500,607500,696500.0,-12,89.0,6.6
70,72,72,Fitzroy High School,FITZROY NORTH,976000,1014000,1188000,1279000,1450000,1475000,1385000,1600000,1706000,1632500,1600000,1870000.0,-2,64.0,5.1
71,73,73,Leongatha Secondary College,LEONGATHA,300000,295500,305000,305000,320000,360000,370000,426000,505000,589000,580000,570000.0,-2,93.0,6.8
72,74,73,Werribee Secondary College,WERRIBEE,309000,315000,335000,403000,470000,510000,500000,515500,570000,612000,610000,586500.0,0,97.0,7.0
73,75,75,Beaumaris Secondary College,BEAUMARIS,1072000,1129500,1345000,1455000,1611000,1674000,1587500,1725000,2100000,2061000,2040000,1837500.0,-1,90.0,6.6
74,76,75,Camberwell High School,CANTERBURY,1950000,2100000,2523000,2620000,3140000,2533000,2902500,2705000,3389000,3460000,3252500,,-6,67.0,5.2
75,77,77,Berwick Secondary College,BERWICK,453000,487500,535000,583000,670000,690000,670000,700000,812000,870000,855000,832500.0,-2,89.0,6.6
76,78,78,Monbulk College,MONBULK,395000,425000,471500,521500,608000,650000,630000,650000,790000,799000,770000,758000.0,-4,95.0,6.9
77,79,79,Bright P-12 College,BRIGHT,325000,339500,392500,429500,495000,590000,580000,700000,909500,1195000,1100000,919000.0,-8,238.0,13.0
78,80,80,Keilor Downs College,KEILOR DOWNS,403500,429000,496500,562000,670000,661000,630000,660000,767500,760500,770000,675000.0,1,91.0,6.7
79,81,81,Alkira Secondary College,CRANBOURNE NORTH,370000,375000,410000,455000,541000,600000,570000,587500,653500,720000,710000,732500.0,-1,92.0,6.7
80,82,81,Parkdale Secondary College,MORDIALLOC,680000,755000,850000,933000,1120000,1046500,1017500,1089000,1375000,1296500,1385000,970000.0,7,104.0,7.4
81,83,83,Wellington Secondary College,MULGRAVE,577500,627000,765500,786000,900500,860000,840000,850000,1000000,996000,1040000,1020000.0,4,80.0,6.1
82,84,84,Kerang Technical High School,KERANG,152000,145000,152000,167000,160000,177000,170000,200000,239000,275500,280000,265000.0,2,84.0,6.3
83,85,85,Bentleigh Secondary College,BENTLEIGH EAST,750000,850000,1000500,1115000,1256000,1205000,1200000,1255000,1480000,1490000,1430000,1566000.0,-4,91.0,6.7
84,86,85,Brentwood Secondary College,GLEN WAVERLEY,815000,960000,1212500,1221000,1337500,1300000,1287500,1304000,1558500,1560000,1660000,1675000.0,6,104.0,7.4
85,87,87,Foster Secondary College,FOSTER,298000,315000,325000,315000,320000,333500,330000,387500,457500,595000,590000,695000.0,-1,98.0,7.1
86,88,88,Eltham High School,ELTHAM,631500,670000,750000,815000,930000,942500,928000,995000,1234500,1255000,1190000,1163500.0,-5,88.0,6.5
87,89,88,Gleneagles Secondary College,ENDEAVOUR HILLS,400000,432000,496500,550000,630500,651000,620000,672000,750000,815000,795000,760000.0,-2,99.0,7.1
88,90,88,McClelland Secondary College,FRANKSTON,350000,372000,426000,474000,600000,605000,581000,621500,750000,764500,735000,763000.0,-4,110.0,7.7
89,91,91,Cheltenham Secondary College,CHELTENHAM,690000,774000,867000,942500,1170000,1105000,1035000,1130000,1306000,1350000,1342000,1320000.0,-1,94.0,6.9
90,92,92,Sunbury Downs Secondary College,SUNBURY,355000,360000,370000,395000,492000,546000,533500,570000,645000,670000,660000,640000.0,-1,86.0,6.4
91,93,93,North Geelong Secondary College,NORTH GEELONG,272500,301000,335000,338500,422000,495000,500000,550500,597500,675000,646500,639000.0,-4,137.0,9.0
92,94,94,Taylors Lakes Secondary College,TAYLORS LAKES,490000,510000,561500,635000,720000,763500,750000,777500,883500,936000,925000,1000000.0,-1,89.0,6.6
93,95,95,Templestowe College,TEMPLESTOWE LOWER,750000,830000,1060000,1105500,1302000,1150000,1080000,1189000,1432500,1390000,1410000,1374000.0,1,88.0,6.5
94,96,96,Surf Coast Secondary College,TORQUAY,580000,580000,620000,665000,720000,810000,815000,870000,1200000,1350000,1255000,1180000.0,-7,116.0,8.0
95,97,97,Norwood Secondary College,RINGWOOD,552000,660000,777500,837500,910500,896500,801000,900000,1018000,1038000,999500,1135000.0,-4,81.0,6.1
96,98,98,Lyndale Secondary College,DANDENONG NORTH,390000,415500,481000,551000,633500,640000,606500,640000,729000,738500,721000,753000.0,-2,85.0,6.3
97,99,98,Wantlrna College,WANTIRNA,576000,667500,764000,801000,953000,906500,850000,907000,1065000,1105000,1150000,1014000.0,4,100.0,7.2
98,100,100,Daylesford Secondary College,DAYLESFORD,385000,401500,442500,464000,502000,552500,592500,692500,835000,910000,899000,1035000.0,-1,134.0,8.9
